"sp","value_Fmax","p_change","qual_change"
"parantheopsis ",0.008,0.0741686601706482,"Less than 5% change"
"parantheopsis ",0.009,0.0797151001065366,"Less than 5% change"
"parantheopsis ",0.01,0.0849025016417038,"Less than 5% change"
"perumytilus purpuratus",0.001,0.0856774220148848,"Less than 5% change"
"perumytilus purpuratus",0.002,0.152000520069562,"Less than 5% change"
"perumytilus purpuratus",0.003,0.207794735297728,"Less than 5% change"
"perumytilus purpuratus",0.004,0.25662916159277,"Less than 5% change"
"perumytilus purpuratus",0.005,0.300394539763982,"Less than 5% change"
"perumytilus purpuratus",0.006,0.340243647458216,"Less than 5% change"
"perumytilus purpuratus",0.007,0.376944033573001,"Less than 5% change"
"perumytilus purpuratus",0.008,0.411038790814833,"Less than 5% change"
"perumytilus purpuratus",0.009,0.442929740222042,"Less than 5% change"
"perumytilus purpuratus",0.01,0.47292453280634,"Less than 5% change"
"phragmatopoma spp.",0.001,0.00523179785461014,"Less than 5% change"
"phragmatopoma spp.",0.002,0.00916850065035835,"Less than 5% change"
"phragmatopoma spp.",0.003,0.0123971749316665,"Less than 5% change"
"phragmatopoma spp.",0.004,0.0151569183403755,"Less than 5% change"
"phragmatopoma spp.",0.005,0.0175752553666753,"Less than 5% change"
"phragmatopoma spp.",0.006,0.0197303920121072,"Less than 5% change"
"phragmatopoma spp.",0.007,0.0216746527660794,"Less than 5% change"
"phragmatopoma spp.",0.008,0.0234452064836521,"Less than 5% change"
"phragmatopoma spp.",0.009,0.0250696385844407,"Less than 5% change"
"phragmatopoma spp.",0.01,0.0265691188273021,"Less than 5% change"
"phymactis spp.",0.001,0.0158470849701775,"Less than 5% change"
"phymactis spp.",0.002,0.0279797439221685,"Less than 5% change"
"phymactis spp.",0.003,0.0380930494962683,"Less than 5% change"
"phymactis spp.",0.004,0.0468726531655861,"Less than 5% change"
"phymactis spp.",0.005,0.0546820945348969,"Less than 5% change"
"phymactis spp.",0.006,0.0617432204304658,"Less than 5% change"
"phymactis spp.",0.007,0.0682038559478571,"Less than 5% change"
"phymactis spp.",0.008,0.074168660170626,"Less than 5% change"
"phymactis spp.",0.009,0.0797151001065144,"Less than 5% change"
"phymactis spp.",0.01,0.0849025016416816,"Less than 5% change"
"pyura chilensis",0.001,0.00508281654831855,"Less than 5% change"
"pyura chilensis",0.002,0.00890742119870058,"Less than 5% change"
"pyura chilensis",0.003,0.0120441618852274,"Less than 5% change"
"pyura chilensis",0.004,0.0147253270075698,"Less than 5% change"
"pyura chilensis",0.005,0.0170748092186646,"Less than 5% change"
"pyura chilensis",0.006,0.0191685872095171,"Less than 5% change"
"pyura chilensis",0.007,0.0210574952413722,"Less than 5% change"
"pyura chilensis",0.008,0.0227776435670846,"Less than 5% change"
"pyura chilensis",0.009,0.0243558319391823,"Less than 5% change"
"pyura chilensis",0.01,0.0258126271696968,"Less than 5% change"
"semimytilus algosus",0.001,0.0446420399407232,"Less than 5% change"
"semimytilus algosus",0.002,0.07912794471443,"Less than 5% change"
"semimytilus algosus",0.003,0.108087613860164,"Less than 5% change"
"semimytilus algosus",0.004,0.133394303085677,"Less than 5% change"
"semimytilus algosus",0.005,0.156040795625945,"Less than 5% change"
"semimytilus algosus",0.006,0.17663259778129,"Less than 5% change"
"semimytilus algosus",0.007,0.195572981809122,"Less than 5% change"
"semimytilus algosus",0.008,0.213147349687737,"Less than 5% change"
"semimytilus algosus",0.009,0.229566895024558,"Less than 5% change"
"semimytilus algosus",0.01,0.244993332152088,"Less than 5% change"
"gulls",0.001,0.0127941834166867,"Less than 5% change"
"gulls",0.002,0.0226876136818488,"Less than 5% change"
"gulls",0.003,0.0310003456712504,"Less than 5% change"
"gulls",0.004,0.0382672095042613,"Less than 5% change"
"gulls",0.005,0.0447719223487075,"Less than 5% change"
"gulls",0.006,0.0506876533845624,"Less than 5% change"
"gulls",0.007,0.0561298046711123,"Less than 5% change"
"gulls",0.008,0.061180089941093,"Less than 5% change"
"gulls",0.009,0.0658990030355078,"Less than 5% change"
"gulls",0.01,0.0703328830029548,"Less than 5% change"
"cinclodes nigrofumosus",0.001,-0.000144815109315299,"Less than 5% change"
"cinclodes nigrofumosus",0.002,-0.000230638477249911,"Less than 5% change"
"cinclodes nigrofumosus",0.003,-0.000287628394990413,"Less than 5% change"
"cinclodes nigrofumosus",0.004,-0.000326984742127223,"Less than 5% change"
"cinclodes nigrofumosus",0.005,-0.000354306704419827,"Less than 5% change"
"cinclodes nigrofumosus",0.006,-0.000372856059116522,"Less than 5% change"
"cinclodes nigrofumosus",0.007,-0.000384722710278229,"Less than 5% change"
"cinclodes nigrofumosus",0.008,-0.000391336196958747,"Less than 5% change"
"cinclodes nigrofumosus",0.009,-0.000393722210745295,"Less than 5% change"
"cinclodes nigrofumosus",0.01,-0.000392644002744635,"Less than 5% change"
"Echinolittorina peruviana",0.001,-23.8339426221142,"Decrease"
"Echinolittorina peruviana",0.002,-38.9917954580534,"Decrease"
"Echinolittorina peruviana",0.003,-49.7693150751673,"Decrease"
"Echinolittorina peruviana",0.004,-57.875923645341,"Decrease"
"Echinolittorina peruviana",0.005,-64.1925905095296,"Decrease"
"Echinolittorina peruviana",0.006,-69.2378919628036,"Decrease"
"Echinolittorina peruviana",0.007,-73.3433842576546,"Decrease"
"Echinolittorina peruviana",0.008,-76.7334447290104,"Decrease"
"Echinolittorina peruviana",0.009,-79.5663802236522,"Decrease"
"Echinolittorina peruviana",0.01,-81.9575145980308,"Decrease"
"austrolittorina araucana",0.001,-22.2966674298378,"Decrease"
"austrolittorina araucana",0.002,-36.869930678396,"Decrease"
"austrolittorina araucana",0.003,-47.4466187771406,"Decrease"
"austrolittorina araucana",0.004,-55.5339167930352,"Decrease"
"austrolittorina araucana",0.005,-61.9216787831962,"Decrease"
"austrolittorina araucana",0.006,-67.082521825566,"Decrease"
"austrolittorina araucana",0.007,-71.32336106432,"Decrease"
"austrolittorina araucana",0.008,-74.8549502464378,"Decrease"
"austrolittorina araucana",0.009,-77.8280107797375,"Decrease"
"austrolittorina araucana",0.01,-80.3537207888859,"Decrease"
"onchidella sp. ",0.001,-5.86873907898092,"Decrease"
"onchidella sp. ",0.002,-10.330011436638,"Decrease"
"onchidella sp. ",0.003,-14.0243738453092,"Decrease"
"onchidella sp. ",0.004,-17.2116954416973,"Decrease"
"onchidella sp. ",0.005,-20.0300860516988,"Decrease"
"onchidella sp. ",0.006,-22.563984962151,"Decrease"
"onchidella sp. ",0.007,-24.8697422979777,"Decrease"
"onchidella sp. ",0.008,-26.987301404455,"Decrease"
"onchidella sp. ",0.009,-28.9462553857664,"Decrease"
"onchidella sp. ",0.01,-30.7692833096466,"Decrease"
"Allelopetrolisthes punctatus",0.001,-0.000117515078801311,"Less than 5% change"
"Allelopetrolisthes punctatus",0.002,-0.000208766756892853,"Less than 5% change"
"Allelopetrolisthes punctatus",0.003,-0.000285656649101629,"Less than 5% change"
"Allelopetrolisthes punctatus",0.004,-0.000353022490595656,"Less than 5% change"
"Allelopetrolisthes punctatus",0.005,-0.000413435854595967,"Less than 5% change"
"Allelopetrolisthes punctatus",0.006,-0.000468468695369317,"Less than 5% change"
"Allelopetrolisthes punctatus",0.007,-0.000519169850943246,"Less than 5% change"
"Allelopetrolisthes punctatus",0.008,-0.000566282735225965,"Less than 5% change"
"Allelopetrolisthes punctatus",0.009,-0.000610358195640703,"Less than 5% change"
"Allelopetrolisthes punctatus",0.01,-0.00065181852045848,"Less than 5% change"
"petrolisthes spinifrons",0.001,-0.000117515079200992,"Less than 5% change"
"petrolisthes spinifrons",0.002,-0.000208766757092693,"Less than 5% change"
"petrolisthes spinifrons",0.003,-0.000285656649390287,"Less than 5% change"
"petrolisthes spinifrons",0.004,-0.000353022490839905,"Less than 5% change"
"petrolisthes spinifrons",0.005,-0.000413435854795807,"Less than 5% change"
"petrolisthes spinifrons",0.006,-0.000468468695424828,"Less than 5% change"
"petrolisthes spinifrons",0.007,-0.000519169851087575,"Less than 5% change"
"petrolisthes spinifrons",0.008,-0.0005662827354036,"Less than 5% change"
"petrolisthes spinifrons",0.009,-0.000610358195918259,"Less than 5% change"
"petrolisthes spinifrons",0.01,-0.000651818520591707,"Less than 5% change"
"petrolisthes angulosus",0.001,-0.000117515079012254,"Less than 5% change"
"petrolisthes angulosus",0.002,-0.000208766756948364,"Less than 5% change"
"petrolisthes angulosus",0.003,-0.000285656649223753,"Less than 5% change"
"petrolisthes angulosus",0.004,-0.00035302249071778,"Less than 5% change"
"petrolisthes angulosus",0.005,-0.000413435854618172,"Less than 5% change"
"petrolisthes angulosus",0.006,-0.000468468695469237,"Less than 5% change"
"petrolisthes angulosus",0.007,-0.000519169850887735,"Less than 5% change"
"petrolisthes angulosus",0.008,-0.00056628273530368,"Less than 5% change"
"petrolisthes angulosus",0.009,-0.000610358195862748,"Less than 5% change"
"petrolisthes angulosus",0.01,-0.000651818520502889,"Less than 5% change"
"petrolisthes tuberculatus",0.001,-0.000117515079056663,"Less than 5% change"
"petrolisthes tuberculatus",0.002,-0.000208766757014978,"Less than 5% change"
"petrolisthes tuberculatus",0.003,-0.000285656649245958,"Less than 5% change"
"petrolisthes tuberculatus",0.004,-0.000353022490706678,"Less than 5% change"
"petrolisthes tuberculatus",0.005,-0.000413435854595967,"Less than 5% change"
"petrolisthes tuberculatus",0.006,-0.000468468695447033,"Less than 5% change"
"petrolisthes tuberculatus",0.007,-0.000519169851043166,"Less than 5% change"
"petrolisthes tuberculatus",0.008,-0.000566282735225965,"Less than 5% change"
"petrolisthes tuberculatus",0.009,-0.000610358195929361,"Less than 5% change"
"petrolisthes tuberculatus",0.01,-0.000651818520547298,"Less than 5% change"
"petrolisthes tuberculosus",0.001,-0.000117515079067765,"Less than 5% change"
"petrolisthes tuberculosus",0.002,-0.000208766756959466,"Less than 5% change"
"petrolisthes tuberculosus",0.003,-0.000285656649268162,"Less than 5% change"
"petrolisthes tuberculosus",0.004,-0.000353022490640065,"Less than 5% change"
"petrolisthes tuberculosus",0.005,-0.00041343585456266,"Less than 5% change"
"petrolisthes tuberculosus",0.006,-0.000468468695358215,"Less than 5% change"
"petrolisthes tuberculosus",0.007,-0.000519169850998757,"Less than 5% change"
"petrolisthes tuberculosus",0.008,-0.000566282735170454,"Less than 5% change"
"petrolisthes tuberculosus",0.009,-0.000610358195807237,"Less than 5% change"
"petrolisthes tuberculosus",0.01,-0.000651818520525094,"Less than 5% change"
"trimusculus peruvianus",0.001,-5.84917869990349,"Decrease"
"trimusculus peruvianus",0.002,-10.2957374218867,"Decrease"
"trimusculus peruvianus",0.003,-13.9780276408635,"Decrease"
"trimusculus peruvianus",0.004,-17.1550224981322,"Decrease"
"trimusculus peruvianus",0.005,-19.9643551955756,"Decrease"
"trimusculus peruvianus",0.006,-22.4901734492457,"Decrease"
"trimusculus peruvianus",0.007,-24.7886327417127,"Decrease"
"trimusculus peruvianus",0.008,-26.8995384337283,"Decrease"
"trimusculus peruvianus",0.009,-28.8523814044388,"Decrease"
"trimusculus peruvianus",0.01,-30.669762395742,"Decrease"
"lessonia nigrescens j",0.001,41.3791040538328,"Increase"
"lessonia nigrescens j",0.002,71.7643048487194,"Increase"
"lessonia nigrescens j",0.003,96.5503851364283,"Increase"
"lessonia nigrescens j",0.004,117.790833189214,"Increase"
"lessonia nigrescens j",0.005,136.529747028391,"Increase"
"lessonia nigrescens j",0.006,153.383889904887,"Increase"
"lessonia nigrescens j",0.007,168.753438830053,"Increase"
"lessonia nigrescens j",0.008,182.915420795765,"Increase"
"lessonia nigrescens j",0.009,196.070958491094,"Increase"
"lessonia nigrescens j",0.01,208.371497847095,"Increase"
"algae",0.001,-0.340940935176814,"Less than 5% change"
"algae",0.002,-0.600281118489265,"Less than 5% change"
"algae",0.003,-0.815148729978055,"Less than 5% change"
"algae",0.004,-1.00060636836732,"Less than 5% change"
"algae",0.005,-1.16465956671221,"Less than 5% change"
"algae",0.006,-1.31220322157948,"Less than 5% change"
"algae",0.007,-1.4465042327057,"Less than 5% change"
"algae",0.008,-1.56987857269854,"Less than 5% change"
"algae",0.009,-1.68404229959052,"Less than 5% change"
"algae",0.01,-1.79031070556319,"Less than 5% change"
