"sp","value_rmodificator","p_change","qual_change"
"scurria zebrina",0.0045,1.320098499,"Less than 5% change"
"siphonaria lesoni",0.0045,1.142934939,"Less than 5% change"
"stichaster striatus",0.0045,0.460366297,"Less than 5% change"
"tegula atra",0.0045,69.38499193,"Increase"
"Tonicia lineolata",0.0045,-0.316849852,"Less than 5% change"
"tonicia  chilensis",0.0045,-0.316849852,"Less than 5% change"
"tonicia  elegans",0.0045,-0.316849852,"Less than 5% change"
"anthotoe spp.",0.0045,0.498851396,"Less than 5% change"
"austromegabalanus psittacus",0.0045,0.468724392,"Less than 5% change"
"balanus laevis",0.0045,0.808602822,"Less than 5% change"
"brachidontes granulata",0.0045,0.301522286,"Less than 5% change"
"bunodactis spp.",0.0045,0.498851396,"Less than 5% change"
"Oulactis concinnata",0.0045,0.498851396,"Less than 5% change"
"jhelius cirratus",0.0045,0.689068212,"Less than 5% change"
"lessonia nigrescens a",0.0045,-23.37234635,"Decrease"
"nothobalanus flosculus",0.0045,1.098220165,"Less than 5% change"
"nothochthamalus scabrosus",0.0045,0.714829693,"Less than 5% change"
"parantheopsis ",0.0045,0.498851396,"Less than 5% change"
"perumytilus purpuratus",0.0045,1.376732254,"Less than 5% change"
"phragmatopoma spp.",0.0045,0.256359501,"Less than 5% change"
"phymactis spp.",0.0045,0.498851396,"Less than 5% change"
"pyura chilensis",0.0045,0.249049872,"Less than 5% change"
"semimytilus algosus",0.0045,0.797007468,"Less than 5% change"
"gulls",0.0045,0.25881813,"Less than 5% change"
"cinclodes nigrofumosus",0.0045,0.003721732,"Less than 5% change"
"Echinolittorina peruviana",0.0045,-65.20816606,"Decrease"
"austrolittorina araucana",0.0045,-62.95617305,"Decrease"
"onchidella sp. ",0.0045,-20.51710023,"Decrease"
"Allelopetrolisthes punctatus",0.0045,-0.002473302,"Less than 5% change"
"petrolisthes spinifrons",0.0045,-0.002473302,"Less than 5% change"
"petrolisthes angulosus",0.0045,-0.002473302,"Less than 5% change"
"petrolisthes tuberculatus",0.0045,-0.002473302,"Less than 5% change"
"petrolisthes tuberculosus",0.0045,-0.002473302,"Less than 5% change"
"trimusculus peruvianus",0.0045,-20.44980811,"Decrease"
"lessonia nigrescens j",0.0045,147.4444637,"Increase"
"algae",0.0045,-1.193013489,"Less than 5% change"
"acanthina monodon",0.0046,0.443776844,"Less than 5% change"
"acanthocyclus gayi",0.0046,0.374775514,"Less than 5% change"
"acanthocyclus hassleri",0.0046,0.373429716,"Less than 5% change"
"acanthopleura echinata",0.0046,0.531665241,"Less than 5% change"
"chaetopleura peruviana",0.0046,0.578734031,"Less than 5% change"
"chiton  cummingsi",0.0046,1.183594184,"Less than 5% change"
"chiton  granosus",0.0046,0.951164725,"Less than 5% change"
"chiton  latus",0.0046,1.132135775,"Less than 5% change"
"lottia  orbignyi",0.0046,1.156957163,"Less than 5% change"
"concholepas concholepas",0.0046,0.34042356,"Less than 5% change"
"enoplochiton  niger",0.0046,0.632239231,"Less than 5% change"
"fissurella  costata",0.0046,0.440807074,"Less than 5% change"
"fissurella  crassa",0.0046,0.539943366,"Less than 5% change"
"fissurella  cummingi",0.0046,0.550232957,"Less than 5% change"
"fissurella  limbata",0.0046,1.508522322,"Less than 5% change"
"fissurella  maxima",0.0046,0.57925768,"Less than 5% change"
"fissurella  picta",0.0046,0.557883519,"Less than 5% change"
"fissurella  puhlcra",0.0046,0.557883519,"Less than 5% change"
"heliaster helianthus",0.0046,0.331762972,"Less than 5% change"
"scurria  araucana",0.0046,1.157063643,"Less than 5% change"
"scurria  ceciliana",0.0046,1.168003503,"Less than 5% change"
"scurria  plana",0.0046,1.160577791,"Less than 5% change"
"scurria scurra",0.0046,-39.1006427,"Decrease"
"scurria variabilis",0.0046,1.213016107,"Less than 5% change"
"scurria viridula",0.0046,1.289741769,"Less than 5% change"
"scurria zebrina",0.0046,1.304997535,"Less than 5% change"
"siphonaria lesoni",0.0046,1.127123346,"Less than 5% change"
"stichaster striatus",0.0046,0.450141231,"Less than 5% change"
"tegula atra",0.0046,70.00392759,"Increase"
"Tonicia lineolata",0.0046,-0.344548429,"Less than 5% change"
"tonicia  chilensis",0.0046,-0.344548429,"Less than 5% change"
"tonicia  elegans",0.0046,-0.344548429,"Less than 5% change"
"anthotoe spp.",0.0046,0.487787836,"Less than 5% change"
"austromegabalanus psittacus",0.0046,0.457778578,"Less than 5% change"
"balanus laevis",0.0046,0.796522403,"Less than 5% change"
"brachidontes granulata",0.0046,0.294360568,"Less than 5% change"
"bunodactis spp.",0.0046,0.487787836,"Less than 5% change"
"Oulactis concinnata",0.0046,0.487787836,"Less than 5% change"
"jhelius cirratus",0.0046,0.663533297,"Less than 5% change"
"lessonia nigrescens a",0.0046,-23.26217324,"Decrease"
"nothobalanus flosculus",0.0046,1.076312673,"Less than 5% change"
"nothochthamalus scabrosus",0.0046,0.689102611,"Less than 5% change"
"parantheopsis ",0.0046,0.487787836,"Less than 5% change"
"perumytilus purpuratus",0.0046,1.35186859,"Less than 5% change"
"phragmatopoma spp.",0.0046,0.250271053,"Less than 5% change"
"phymactis spp.",0.0046,0.487787836,"Less than 5% change"
"pyura chilensis",0.0046,0.243135099,"Less than 5% change"
"semimytilus algosus",0.0046,0.781958007,"Less than 5% change"
"gulls",0.0046,0.253704439,"Less than 5% change"
"cinclodes nigrofumosus",0.0046,0.003612269,"Less than 5% change"
"Echinolittorina peruviana",0.0046,-65.64223523,"Decrease"
"austrolittorina araucana",0.0046,-63.39898704,"Decrease"
"onchidella sp. ",0.0046,-20.72867695,"Decrease"
"Allelopetrolisthes punctatus",0.0046,-0.002424005,"Less than 5% change"
"petrolisthes spinifrons",0.0046,-0.002424005,"Less than 5% change"
"petrolisthes angulosus",0.0046,-0.002424005,"Less than 5% change"
"petrolisthes tuberculatus",0.0046,-0.002424005,"Less than 5% change"
"petrolisthes tuberculosus",0.0046,-0.002424005,"Less than 5% change"
"trimusculus peruvianus",0.0046,-20.66070883,"Decrease"
"lessonia nigrescens j",0.0046,148.6529413,"Increase"
"algae",0.0046,-1.205332107,"Less than 5% change"
"acanthina monodon",0.0047,0.434231478,"Less than 5% change"
"acanthocyclus gayi",0.0047,0.366528799,"Less than 5% change"
"acanthocyclus hassleri",0.0047,0.36521501,"Less than 5% change"
"acanthopleura echinata",0.0047,0.517765722,"Less than 5% change"
"chaetopleura peruviana",0.0047,0.566598734,"Less than 5% change"
"chiton  cummingsi",0.0047,1.169169404,"Less than 5% change"
"chiton  granosus",0.0047,0.934699259,"Less than 5% change"
"chiton  latus",0.0047,1.117294421,"Less than 5% change"
"lottia  orbignyi",0.0047,1.142392932,"Less than 5% change"
"concholepas concholepas",0.0047,0.332838333,"Less than 5% change"
"enoplochiton  niger",0.0047,0.613249489,"Less than 5% change"
"fissurella  costata",0.0047,0.421117224,"Less than 5% change"
"fissurella  crassa",0.0047,0.520589324,"Less than 5% change"
"fissurella  cummingi",0.0047,0.531242306,"Less than 5% change"
"fissurella  limbata",0.0047,1.484428995,"Less than 5% change"
"fissurella  maxima",0.0047,0.560322626,"Less than 5% change"
"fissurella  picta",0.0047,0.538905138,"Less than 5% change"
"fissurella  puhlcra",0.0047,0.538905138,"Less than 5% change"
"heliaster helianthus",0.0047,0.324364528,"Less than 5% change"
"scurria  araucana",0.0047,1.142521815,"Less than 5% change"
"scurria  ceciliana",0.0047,1.153528977,"Less than 5% change"
"scurria  plana",0.0047,1.146055072,"Less than 5% change"
"scurria scurra",0.0047,-38.9287068,"Decrease"
"scurria variabilis",0.0047,1.198695917,"Less than 5% change"
"scurria viridula",0.0047,1.275479697,"Less than 5% change"
"scurria zebrina",0.0047,1.290707205,"Less than 5% change"
"siphonaria lesoni",0.0047,1.112155608,"Less than 5% change"
"stichaster striatus",0.0047,0.440452071,"Less than 5% change"
"tegula atra",0.0047,70.59314307,"Increase"
"Tonicia lineolata",0.0047,-0.370827717,"Less than 5% change"
"tonicia  chilensis",0.0047,-0.370827717,"Less than 5% change"
"tonicia  elegans",0.0047,-0.370827717,"Less than 5% change"
"anthotoe spp.",0.0047,0.47730426,"Less than 5% change"
"austromegabalanus psittacus",0.0047,0.44740558,"Less than 5% change"
"balanus laevis",0.0047,0.78508527,"Less than 5% change"
"brachidontes granulata",0.0047,0.287573347,"Less than 5% change"
"bunodactis spp.",0.0047,0.47730426,"Less than 5% change"
"Oulactis concinnata",0.0047,0.47730426,"Less than 5% change"
"jhelius cirratus",0.0047,0.639330556,"Less than 5% change"
"lessonia nigrescens a",0.0047,-23.15810827,"Decrease"
"nothobalanus flosculus",0.0047,1.055560377,"Less than 5% change"
"nothochthamalus scabrosus",0.0047,0.664718188,"Less than 5% change"
"parantheopsis ",0.0047,0.47730426,"Less than 5% change"
"perumytilus purpuratus",0.0047,1.328319038,"Less than 5% change"
"phragmatopoma spp.",0.0047,0.244500964,"Less than 5% change"
"phymactis spp.",0.0047,0.47730426,"Less than 5% change"
"pyura chilensis",0.0047,0.237529601,"Less than 5% change"
"semimytilus algosus",0.0047,0.767701001,"Less than 5% change"
"gulls",0.0047,0.248859879,"Less than 5% change"
"cinclodes nigrofumosus",0.0047,0.003508584,"Less than 5% change"
"Echinolittorina peruviana",0.0047,-66.05092911,"Decrease"
"austrolittorina araucana",0.0047,-63.81627605,"Decrease"
"onchidella sp. ",0.0047,-20.92973421,"Decrease"
"Allelopetrolisthes punctatus",0.0047,-0.002377298,"Less than 5% change"
"petrolisthes spinifrons",0.0047,-0.002377298,"Less than 5% change"
"petrolisthes angulosus",0.0047,-0.002377298,"Less than 5% change"
"petrolisthes tuberculatus",0.0047,-0.002377298,"Less than 5% change"
"petrolisthes tuberculosus",0.0047,-0.002377298,"Less than 5% change"
"trimusculus peruvianus",0.0047,-20.86112409,"Decrease"
"lessonia nigrescens j",0.0047,149.801836,"Increase"
"algae",0.0047,-1.217038558,"Less than 5% change"
"acanthina monodon",0.0048,0.425172688,"Less than 5% change"
"acanthocyclus gayi",0.0048,0.358702165,"Less than 5% change"
"acanthocyclus hassleri",0.0048,0.357418756,"Less than 5% change"
"acanthopleura echinata",0.0048,0.50457248,"Less than 5% change"
"chaetopleura peruviana",0.0048,0.55508258,"Less than 5% change"
"chiton  cummingsi",0.0048,1.155494878,"Less than 5% change"
"chiton  granosus",0.0048,0.919078094,"Less than 5% change"
"chiton  latus",0.0048,1.103223429,"Less than 5% change"
"lottia  orbignyi",0.0048,1.128585513,"Less than 5% change"
"concholepas concholepas",0.0048,0.325639339,"Less than 5% change"
"enoplochiton  niger",0.0048,0.595223621,"Less than 5% change"
"fissurella  costata",0.0048,0.402421618,"Less than 5% change"
"fissurella  crassa",0.0048,0.502215112,"Less than 5% change"
"fissurella  cummingi",0.0048,0.513213579,"Less than 5% change"
"fissurella  limbata",0.0048,1.461568702,"Less than 5% change"
"fissurella  maxima",0.0048,0.54234742,"Less than 5% change"
"fissurella  picta",0.0048,0.520888255,"Less than 5% change"
"fissurella  puhlcra",0.0048,0.520888255,"Less than 5% change"
"heliaster helianthus",0.0048,0.317342789,"Less than 5% change"
"scurria  araucana",0.0048,1.128735685,"Less than 5% change"
"scurria  ceciliana",0.0048,1.13980695,"Less than 5% change"
"scurria  plana",0.0048,1.132287139,"Less than 5% change"
"scurria scurra",0.0048,-38.76600188,"Decrease"
"scurria variabilis",0.0048,1.185121279,"Less than 5% change"
"scurria viridula",0.0048,1.261961684,"Less than 5% change"
"scurria zebrina",0.0048,1.277162623,"Less than 5% change"
"siphonaria lesoni",0.0048,1.097964533,"Less than 5% change"
"stichaster striatus",0.0048,0.431256823,"Less than 5% change"
"tegula atra",0.0048,71.154774,"Increase"
"Tonicia lineolata",0.0048,-0.39579657,"Less than 5% change"
"tonicia  chilensis",0.0048,-0.39579657,"Less than 5% change"
"tonicia  elegans",0.0048,-0.39579657,"Less than 5% change"
"anthotoe spp.",0.0048,0.46735521,"Less than 5% change"
"austromegabalanus psittacus",0.0048,0.437560571,"Less than 5% change"
"balanus laevis",0.0048,0.774240312,"Less than 5% change"
"brachidontes granulata",0.0048,0.281131337,"Less than 5% change"
"bunodactis spp.",0.0048,0.46735521,"Less than 5% change"
"Oulactis concinnata",0.0048,0.46735521,"Less than 5% change"
"jhelius cirratus",0.0048,0.616356053,"Less than 5% change"
"lessonia nigrescens a",0.0048,-23.05964859,"Decrease"
"nothobalanus flosculus",0.0048,1.035872259,"Less than 5% change"
"nothochthamalus scabrosus",0.0048,0.641571637,"Less than 5% change"
"parantheopsis ",0.0048,0.46735521,"Less than 5% change"
"perumytilus purpuratus",0.0048,1.305979828,"Less than 5% change"
"phragmatopoma spp.",0.0048,0.239024338,"Less than 5% change"
"phymactis spp.",0.0048,0.46735521,"Less than 5% change"
"pyura chilensis",0.0048,0.232209194,"Less than 5% change"
"semimytilus algosus",0.0048,0.754174085,"Less than 5% change"
"gulls",0.0048,0.24426328,"Less than 5% change"
"cinclodes nigrofumosus",0.0048,0.003410222,"Less than 5% change"
"Echinolittorina peruviana",0.0048,-66.43641465,"Decrease"
"austrolittorina araucana",0.0048,-64.21019177,"Decrease"
"onchidella sp. ",0.0048,-21.12105342,"Decrease"
"Allelopetrolisthes punctatus",0.0048,-0.002332977,"Less than 5% change"
"petrolisthes spinifrons",0.0048,-0.002332977,"Less than 5% change"
"petrolisthes angulosus",0.0048,-0.002332977,"Less than 5% change"
"petrolisthes tuberculatus",0.0048,-0.002332977,"Less than 5% change"
"petrolisthes tuberculosus",0.0048,-0.002332977,"Less than 5% change"
"trimusculus peruvianus",0.0048,-21.05183275,"Decrease"
"lessonia nigrescens j",0.0048,150.8955438,"Increase"
"algae",0.0048,-1.228178295,"Less than 5% change"
"acanthina monodon",0.0049,0.41656341,"Less than 5% change"
"acanthocyclus gayi",0.0049,0.351263634,"Less than 5% change"
"acanthocyclus hassleri",0.0049,0.350009097,"Less than 5% change"
"acanthopleura echinata",0.0049,0.492031873,"Less than 5% change"
"chaetopleura peruviana",0.0049,0.544138367,"Less than 5% change"
"chiton  cummingsi",0.0049,1.142512424,"Less than 5% change"
"chiton  granosus",0.0049,0.904236565,"Less than 5% change"
"chiton  latus",0.0049,1.089863168,"Less than 5% change"
"lottia  orbignyi",0.0049,1.115476266,"Less than 5% change"
"concholepas concholepas",0.0049,0.318797186,"Less than 5% change"
"enoplochiton  niger",0.0049,0.578088497,"Less than 5% change"
"fissurella  costata",0.0049,0.384645182,"Less than 5% change"
"fissurella  crassa",0.0049,0.484746566,"Less than 5% change"
"fissurella  cummingi",0.0049,0.496073932,"Less than 5% change"
"fissurella  limbata",0.0049,1.439847178,"Less than 5% change"
"fissurella  maxima",0.0049,0.525259321,"Less than 5% change"
"fissurella  picta",0.0049,0.503760044,"Less than 5% change"
"fissurella  puhlcra",0.0049,0.503760044,"Less than 5% change"
"heliaster helianthus",0.0049,0.31066909,"Less than 5% change"
"scurria  araucana",0.0049,1.115646697,"Less than 5% change"
"scurria  ceciliana",0.0049,1.126779092,"Less than 5% change"
"scurria  plana",0.0049,1.119215501,"Less than 5% change"
"scurria scurra",0.0049,-38.61179205,"Decrease"
"scurria variabilis",0.0049,1.172234326,"Less than 5% change"
"scurria viridula",0.0049,1.249129868,"Less than 5% change"
"scurria zebrina",0.0049,1.264305781,"Less than 5% change"
"siphonaria lesoni",0.0049,1.084490023,"Less than 5% change"
"stichaster striatus",0.0049,0.422517861,"Less than 5% change"
"tegula atra",0.0049,71.69075149,"Increase"
"Tonicia lineolata",0.0049,-0.419552736,"Less than 5% change"
"tonicia  chilensis",0.0049,-0.419552736,"Less than 5% change"
"tonicia  elegans",0.0049,-0.419552736,"Less than 5% change"
"anthotoe spp.",0.0049,0.457899959,"Less than 5% change"
"austromegabalanus psittacus",0.0049,0.428203386,"Less than 5% change"
"balanus laevis",0.0049,0.7639418,"Less than 5% change"
"brachidontes granulata",0.0049,0.275008296,"Less than 5% change"
"bunodactis spp.",0.0049,0.457899959,"Less than 5% change"
"Oulactis concinnata",0.0049,0.457899959,"Less than 5% change"
"jhelius cirratus",0.0049,0.594516625,"Less than 5% change"
"lessonia nigrescens a",0.0049,-22.96634592,"Decrease"
"nothobalanus flosculus",0.0049,1.017166822,"Less than 5% change"
"nothochthamalus scabrosus",0.0049,0.619569035,"Less than 5% change"
"parantheopsis ",0.0049,0.457899959,"Less than 5% change"
"perumytilus purpuratus",0.0049,1.284758066,"Less than 5% change"
"phragmatopoma spp.",0.0049,0.233818868,"Less than 5% change"
"phymactis spp.",0.0049,0.457899959,"Less than 5% change"
"pyura chilensis",0.0049,0.227152205,"Less than 5% change"
"semimytilus algosus",0.0049,0.741321413,"Less than 5% change"
"gulls",0.0049,0.239895683,"Less than 5% change"
"cinclodes nigrofumosus",0.0049,0.003316773,"Less than 5% change"
"Echinolittorina peruviana",0.0049,-66.80061781,"Decrease"
"austrolittorina araucana",0.0049,-64.58264944,"Decrease"
"onchidella sp. ",0.0049,-21.30333885,"Decrease"
"Allelopetrolisthes punctatus",0.0049,-0.002290862,"Less than 5% change"
"petrolisthes spinifrons",0.0049,-0.002290862,"Less than 5% change"
"petrolisthes angulosus",0.0049,-0.002290862,"Less than 5% change"
"petrolisthes tuberculatus",0.0049,-0.002290862,"Less than 5% change"
"petrolisthes tuberculosus",0.0049,-0.002290862,"Less than 5% change"
"trimusculus peruvianus",0.0049,-21.23353679,"Decrease"
"lessonia nigrescens j",0.0049,151.9380289,"Increase"
"algae",0.0049,-1.238792285,"Less than 5% change"
"acanthina monodon",0.005,0.408370327,"Less than 5% change"
"acanthocyclus gayi",0.005,0.344184457,"Less than 5% change"
"acanthocyclus hassleri",0.005,0.342957399,"Less than 5% change"
"acanthopleura echinata",0.005,0.480095668,"Less than 5% change"
"chaetopleura peruviana",0.005,0.533723671,"Less than 5% change"
"chiton  cummingsi",0.005,1.130169837,"Less than 5% change"
"chiton  granosus",0.005,0.890116576,"Less than 5% change"
"chiton  latus",0.005,1.077160122,"Less than 5% change"
"lottia  orbignyi",0.005,1.103012569,"Less than 5% change"
"concholepas concholepas",0.005,0.312285452,"Less than 5% change"
"enoplochiton  niger",0.005,0.561778352,"Less than 5% change"
"fissurella  costata",0.005,0.367720372,"Less than 5% change"
"fissurella  crassa",0.005,0.468116977,"Less than 5% change"
"fissurella  cummingi",0.005,0.479757848,"Less than 5% change"
"fissurella  limbata",0.005,1.419179718,"Less than 5% change"
"fissurella  maxima",0.005,0.508992913,"Less than 5% change"
"fissurella  picta",0.005,0.487455007,"Less than 5% change"
"fissurella  puhlcra",0.005,0.487455007,"Less than 5% change"
"heliaster helianthus",0.005,0.30431766,"Less than 5% change"
"scurria  araucana",0.005,1.103202302,"Less than 5% change"
"scurria  ceciliana",0.005,1.114393062,"Less than 5% change"
"scurria  plana",0.005,1.106787668,"Less than 5% change"
"scurria scurra",0.005,-38.46541884,"Decrease"
"scurria variabilis",0.005,1.159983136,"Less than 5% change"
"scurria viridula",0.005,1.236932347,"Less than 5% change"
"scurria zebrina",0.005,1.252084646,"Less than 5% change"
"siphonaria lesoni",0.005,1.071678138,"Less than 5% change"
"stichaster striatus",0.005,0.414201368,"Less than 5% change"
"tegula atra",0.005,72.20282665,"Increase"
"Tonicia lineolata",0.005,-0.442184268,"Less than 5% change"
"tonicia  chilensis",0.005,-0.442184268,"Less than 5% change"
"tonicia  elegans",0.005,-0.442184268,"Less than 5% change"
"anthotoe spp.",0.005,0.448901901,"Less than 5% change"
"austromegabalanus psittacus",0.005,0.419297916,"Less than 5% change"
"balanus laevis",0.005,0.754148684,"Less than 5% change"
"brachidontes granulata",0.005,0.269180627,"Less than 5% change"
"bunodactis spp.",0.005,0.448901901,"Less than 5% change"
"Oulactis concinnata",0.005,0.448901901,"Less than 5% change"
"jhelius cirratus",0.005,0.573728496,"Less than 5% change"
"lessonia nigrescens a",0.005,-22.87779928,"Decrease"
"nothobalanus flosculus",0.005,0.999370846,"Less than 5% change"
"nothochthamalus scabrosus",0.005,0.598625922,"Less than 5% change"
"parantheopsis ",0.005,0.448901901,"Less than 5% change"
"perumytilus purpuratus",0.005,1.264570315,"Less than 5% change"
"phragmatopoma spp.",0.005,0.228864495,"Less than 5% change"
"phymactis spp.",0.005,0.448901901,"Less than 5% change"
"pyura chilensis",0.005,0.22233915,"Less than 5% change"
"semimytilus algosus",0.005,0.729092805,"Less than 5% change"
"gulls",0.005,0.235740052,"Less than 5% change"
"cinclodes nigrofumosus",0.005,0.003227873,"Less than 5% change"
"Echinolittorina peruviana",0.005,-67.1452564,"Decrease"
"austrolittorina araucana",0.005,-64.93535964,"Decrease"
"onchidella sp. ",0.005,-21.47722706,"Decrease"
"Allelopetrolisthes punctatus",0.005,-0.002250787,"Less than 5% change"
"petrolisthes spinifrons",0.005,-0.002250787,"Less than 5% change"
"petrolisthes angulosus",0.005,-0.002250787,"Less than 5% change"
"petrolisthes tuberculatus",0.005,-0.002250787,"Less than 5% change"
"petrolisthes tuberculosus",0.005,-0.002250787,"Less than 5% change"
"trimusculus peruvianus",0.005,-21.40687069,"Decrease"
"lessonia nigrescens j",0.005,152.9328768,"Increase"
"algae",0.005,-1.248917557,"Less than 5% change"
"acanthina monodon",0.0051,0.4005634,"Less than 5% change"
"acanthocyclus gayi",0.0051,0.337438715,"Less than 5% change"
"acanthocyclus hassleri",0.0051,0.33623784,"Less than 5% change"
"acanthopleura echinata",0.0051,0.468720363,"Less than 5% change"
"chaetopleura peruviana",0.0051,0.523800245,"Less than 5% change"
"chiton  cummingsi",0.0051,1.118420126,"Less than 5% change"
"chiton  granosus",0.0051,0.876665777,"Less than 5% change"
"chiton  latus",0.0051,1.065066113,"Less than 5% change"
"lottia  orbignyi",0.0051,1.091147052,"Less than 5% change"
"concholepas concholepas",0.0051,0.306080312,"Less than 5% change"
"enoplochiton  niger",0.0051,0.546233871,"Less than 5% change"
"fissurella  costata",0.0051,0.351586239,"Less than 5% change"
"fissurella  crassa",0.0051,0.452266163,"Less than 5% change"
"fissurella  cummingi",0.0051,0.464206222,"Less than 5% change"
"fissurella  limbata",0.0051,1.399489979,"Less than 5% change"
"fissurella  maxima",0.0051,0.493489184,"Less than 5% change"
"fissurella  picta",0.0051,0.471914055,"Less than 5% change"
"fissurella  puhlcra",0.0051,0.471914055,"Less than 5% change"
"heliaster helianthus",0.0051,0.298265264,"Less than 5% change"
"scurria  araucana",0.0051,1.091355199,"Less than 5% change"
"scurria  ceciliana",0.0051,1.102601742,"Less than 5% change"
"scurria  plana",0.0051,1.094956391,"Less than 5% change"
"scurria scurra",0.0051,-38.32629106,"Decrease"
"scurria variabilis",0.0051,1.148320981,"Less than 5% change"
"scurria viridula",0.0051,1.225322414,"Less than 5% change"
"scurria zebrina",0.0051,1.240452395,"Less than 5% change"
"siphonaria lesoni",0.0051,1.059480318,"Less than 5% change"
"stichaster striatus",0.0051,0.40627685,"Less than 5% change"
"tegula atra",0.0051,72.69259153,"Increase"
"Tonicia lineolata",0.0051,-0.463770721,"Less than 5% change"
"tonicia  chilensis",0.0051,-0.463770721,"Less than 5% change"
"tonicia  elegans",0.0051,-0.463770721,"Less than 5% change"
"anthotoe spp.",0.0051,0.44032803,"Less than 5% change"
"austromegabalanus psittacus",0.0051,0.410811599,"Less than 5% change"
"balanus laevis",0.0051,0.744824,"Less than 5% change"
"brachidontes granulata",0.0051,0.263627055,"Less than 5% change"
"bunodactis spp.",0.0051,0.44032803,"Less than 5% change"
"Oulactis concinnata",0.0051,0.44032803,"Less than 5% change"
"jhelius cirratus",0.0051,0.553916096,"Less than 5% change"
"lessonia nigrescens a",0.0051,-22.79364882,"Decrease"
"nothobalanus flosculus",0.0051,0.98241835,"Less than 5% change"
"nothochthamalus scabrosus",0.0051,0.578666117,"Less than 5% change"
"parantheopsis ",0.0051,0.44032803,"Less than 5% change"
"perumytilus purpuratus",0.0051,1.2453414,"Less than 5% change"
"phragmatopoma spp.",0.0051,0.224143134,"Less than 5% change"
"phymactis spp.",0.0051,0.44032803,"Less than 5% change"
"pyura chilensis",0.0051,0.217752459,"Less than 5% change"
"semimytilus algosus",0.0051,0.717443035,"Less than 5% change"
"gulls",0.0051,0.231781034,"Less than 5% change"
"cinclodes nigrofumosus",0.0051,0.00314319,"Less than 5% change"
"Echinolittorina peruviana",0.0051,-67.47186752,"Decrease"
"austrolittorina araucana",0.0051,-65.2698551,"Decrease"
"onchidella sp. ",0.0051,-21.64329508,"Decrease"
"Allelopetrolisthes punctatus",0.0051,-0.002212606,"Less than 5% change"
"petrolisthes spinifrons",0.0051,-0.002212606,"Less than 5% change"
"petrolisthes angulosus",0.0051,-0.002212606,"Less than 5% change"
"petrolisthes tuberculatus",0.0051,-0.002212606,"Less than 5% change"
"petrolisthes tuberculosus",0.0051,-0.002212606,"Less than 5% change"
"trimusculus peruvianus",0.0051,-21.57240959,"Decrease"
"lessonia nigrescens j",0.0051,153.883339,"Increase"
"algae",0.0051,-1.25858768,"Less than 5% change"
"acanthina monodon",0.0052,0.393115465,"Less than 5% change"
"acanthocyclus gayi",0.0052,0.331002966,"Less than 5% change"
"acanthocyclus hassleri",0.0052,0.329827072,"Less than 5% change"
"acanthopleura echinata",0.0052,0.457866614,"Less than 5% change"
"chaetopleura peruviana",0.0052,0.514333505,"Less than 5% change"
"chiton  cummingsi",0.0052,1.107220868,"Less than 5% change"
"chiton  granosus",0.0052,0.863836852,"Less than 5% change"
"chiton  latus",0.0052,1.053537638,"Less than 5% change"
"lottia  orbignyi",0.0052,1.079836947,"Less than 5% change"
"concholepas concholepas",0.0052,0.30016022,"Less than 5% change"
"enoplochiton  niger",0.0052,0.531401396,"Less than 5% change"
"fissurella  costata",0.0052,0.336187623,"Less than 5% change"
"fissurella  crassa",0.0052,0.43713967,"Less than 5% change"
"fissurella  cummingi",0.0052,0.449365577,"Less than 5% change"
"fissurella  limbata",0.0052,1.380708949,"Less than 5% change"
"fissurella  maxima",0.0052,0.478694746,"Less than 5% change"
"fissurella  picta",0.0052,0.457083728,"Less than 5% change"
"fissurella  puhlcra",0.0052,0.457083728,"Less than 5% change"
"heliaster helianthus",0.0052,0.292490887,"Less than 5% change"
"scurria  araucana",0.0052,1.080062681,"Less than 5% change"
"scurria  ceciliana",0.0052,1.091362597,"Less than 5% change"
"scurria  plana",0.0052,1.083679012,"Less than 5% change"
"scurria scurra",0.0052,-38.19387636,"Decrease"
"scurria variabilis",0.0052,1.137205675,"Less than 5% change"
"scurria viridula",0.0052,1.214257914,"Less than 5% change"
"scurria zebrina",0.0052,1.229366769,"Less than 5% change"
"siphonaria lesoni",0.0052,1.047852713,"Less than 5% change"
"stichaster striatus",0.0052,0.398716734,"Less than 5% change"
"tegula atra",0.0052,73.16149716,"Increase"
"Tonicia lineolata",0.0052,-0.484384175,"Less than 5% change"
"tonicia  chilensis",0.0052,-0.484384175,"Less than 5% change"
"tonicia  elegans",0.0052,-0.484384175,"Less than 5% change"
"anthotoe spp.",0.0052,0.432148502,"Less than 5% change"
"austromegabalanus psittacus",0.0052,0.402714989,"Less than 5% change"
"balanus laevis",0.0052,0.735934362,"Less than 5% change"
"brachidontes granulata",0.0052,0.258328336,"Less than 5% change"
"bunodactis spp.",0.0052,0.432148502,"Less than 5% change"
"Oulactis concinnata",0.0052,0.432148502,"Less than 5% change"
"jhelius cirratus",0.0052,0.535011063,"Less than 5% change"
"lessonia nigrescens a",0.0052,-22.71357056,"Decrease"
"nothobalanus flosculus",0.0052,0.966249697,"Less than 5% change"
"nothochthamalus scabrosus",0.0052,0.559620708,"Less than 5% change"
"parantheopsis ",0.0052,0.432148502,"Less than 5% change"
"perumytilus purpuratus",0.0052,1.227003392,"Less than 5% change"
"phragmatopoma spp.",0.0052,0.219638426,"Less than 5% change"
"phymactis spp.",0.0052,0.432148502,"Less than 5% change"
